tag,ROC-AUC,PR-AUC
guitar,0.8007682340111616,0.5177774810862676
classical,0.8711780482454108,0.47345146246005076
slow,0.790247694578962,0.35774793786688347
techno,0.9070271580955048,0.5728806579483964
strings,0.8225901182375963,0.2784580020200429
drums,0.756146547544844,0.2749253874666971
electronic,0.812101613236953,0.2689599949013303
rock,0.8620180393382597,0.5940179352672562
fast,0.7938432734460869,0.3316340784955922
piano,0.9179649548083859,0.7019545917677702
ambient,0.8831808671706952,0.4969886508537677
beat,0.8340078374658861,0.3155482653001388
violin,0.8610651150862998,0.32176106586658426
vocal,0.7307324474256537,0.2033164582284307
synth,0.7798505155576569,0.1748810147870521
female,0.7752298444505269,0.19749162546791105
indian,0.6769903118275974,0.09630764562053239
opera,0.950225793957334,0.6167588246150769
male,0.8522443088336474,0.22591045622843894
singing,0.7359427082281166,0.139165972087627
vocals,0.704407646140464,0.1149609857678061
no vocals,0.599951026830874,0.06097595096037282
harpsichord,0.9361486834249481,0.4563665074651338
loud,0.7977610469699077,0.20950019592688912
quiet,0.856252103027725,0.2097629284925709
flute,0.7348259491024475,0.05779486484231652
woman,0.7704479443392244,0.1347441384284332
male vocal,0.8483988248169904,0.17546295995499164
no vocal,0.6356265411070016,0.054377274891625846
pop,0.7881246595657548,0.14452387336486547
soft,0.7844274736742245,0.15305793501627835
sitar,0.7886483079935628,0.09419929538470927
solo,0.8717905672542365,0.12962556478985018
man,0.834386542877109,0.16150998341078304
classic,0.8491351530247871,0.1050916031678642
choir,0.9442249831351629,0.4835149396988509
voice,0.6496292193104647,0.06414627100962311
new age,0.8094075546304845,0.11782743821584253
dance,0.9142712468810297,0.2382403176380216
male voice,0.8167756519439469,0.11009948033288157
female vocal,0.7962722480170245,0.1072816220258152
beats,0.8227489091091759,0.1424846752389273
harp,0.8755666376854389,0.11043332460852837
cello,0.8091542663401771,0.015207865226226913
no voice,0.6143477513113768,0.030116814497944983
weird,0.7443159289098273,0.06199482494182831
country,0.8473368618708056,0.09436277366864328
metal,0.9262258526394854,0.42370656651437516
female voice,0.7191954708946918,0.0623918580462367
choral,0.9548123324003066,0.3360116041857558
