tag,ROC-AUC,PR-AUC
guitar,0.8897396882417089,0.645436051992775
classical,0.905203978531503,0.5464977680128592
slow,0.8271931330848834,0.4081067948124128
techno,0.9499564885134624,0.7110878428969443
strings,0.8775374281908465,0.3611078724008396
drums,0.8696601742374094,0.36815492773428105
electronic,0.8728136701307543,0.3717108972234616
rock,0.9777548316998206,0.8211279567183276
fast,0.8847360656628344,0.43762267657652504
piano,0.9504519601824047,0.7638187282245154
ambient,0.9303040993553466,0.5639420688480751
beat,0.919285764269553,0.3916658440920625
violin,0.9133876454394305,0.46798731693124174
vocal,0.8632991840818454,0.31576248658323636
synth,0.8386883437293519,0.2253435986410215
female,0.9245014290351944,0.47429578632281766
indian,0.8287389767773727,0.17809590368353378
opera,0.9788579175024397,0.7600918593678125
male,0.9149084627120164,0.3171204766836653
singing,0.8706356100550157,0.24484121219497249
vocals,0.8435317940437899,0.19195109008028935
no vocals,0.648017790908653,0.06702691761794248
harpsichord,0.9778807156239062,0.7723133744458139
loud,0.9186945043353272,0.3757424887330101
quiet,0.9085690840639702,0.3318289115511443
flute,0.9472602723360738,0.5914850609091891
woman,0.9170321471106514,0.33374652104530245
male vocal,0.9115427427315305,0.2628490697257402
no vocal,0.6483558821620921,0.052593889314249825
pop,0.9299530449234047,0.3129772636221264
soft,0.820825032413117,0.17950398106577392
sitar,0.8658473911852861,0.12531308341599234
solo,0.9026665693466175,0.18597493895155287
man,0.9179380766981845,0.23535295124191308
classic,0.8824295842115348,0.1197662442313857
choir,0.9816193968389294,0.6640391002236454
voice,0.8345172248063278,0.09154403049082811
new age,0.875030647323641,0.14824208572274084
dance,0.9585555757594124,0.4089997865249865
male voice,0.8895764528834136,0.1607779498539186
female vocal,0.9215467208357516,0.26734496137224006
beats,0.9132446500867554,0.19756815261350366
harp,0.9354566183828474,0.40527733370835617
cello,0.9483518553399888,0.1453918497340038
no voice,0.6486452965728914,0.032128568678866334
weird,0.8065771039360411,0.08729422553080578
country,0.9355871724615237,0.21458724631644555
metal,0.9838192146092998,0.5631029242519254
female voice,0.8957192857949322,0.17294817471658816
choral,0.9841072168097537,0.5610353856118496
