tag,ROC-AUC,PR-AUC
classic,0.8824295842115348,0.1197662442313857
classical,0.905203978531503,0.5464977680128592
country,0.9355871724615237,0.21458724631644555
dance,0.9585555757594124,0.4089997865249865
electronic,0.8728136701307543,0.3717108972234616
indian,0.8287389767773727,0.17809590368353378
metal,0.9838192146092998,0.5631029242519254
new age,0.875030647323641,0.14824208572274084
opera,0.9788579175024397,0.7600918593678125
pop,0.9299530449234047,0.3129772636221264
rock,0.9777548316998206,0.8211279567183276
techno,0.9499564885134624,0.7110878428969443
