tag,ROC-AUC,PR-AUC
cello,0.9483518553399888,0.1453918497340038
drums,0.8696601742374094,0.36815492773428105
flute,0.9472602723360738,0.5914850609091891
guitar,0.8897396882417089,0.645436051992775
harp,0.9354566183828474,0.40527733370835617
harpsichord,0.9778807156239062,0.7723133744458139
piano,0.9504519601824047,0.7638187282245154
sitar,0.8658473911852861,0.12531308341599234
strings,0.8775374281908465,0.3611078724008396
synth,0.8386883437293519,0.2253435986410215
violin,0.9133876454394305,0.46798731693124174
