tag,ROC-AUC,PR-AUC
female,0.9245014290351944,0.47429578632281766
female vocal,0.9215467208357516,0.26734496137224006
female voice,0.8957192857949322,0.17294817471658816
male,0.9149084627120164,0.3171204766836653
male voice,0.8895764528834136,0.1607779498539186
man,0.9179380766981845,0.23535295124191308
no vocal,0.6483558821620921,0.052593889314249825
no vocals,0.648017790908653,0.06702691761794248
singing,0.8706356100550157,0.24484121219497249
vocal,0.8632991840818454,0.31576248658323636
vocals,0.8435317940437899,0.19195109008028935
voice,0.8345172248063278,0.09154403049082811
