tag,ROC-AUC,PR-AUC
classic,0.8491351530247871,0.1050916031678642
classical,0.8711780482454108,0.47345146246005076
country,0.8473368618708056,0.09436277366864328
dance,0.9142712468810297,0.2382403176380216
electronic,0.812101613236953,0.2689599949013303
indian,0.6769903118275974,0.09630764562053239
metal,0.9262258526394854,0.42370656651437516
new age,0.8094075546304845,0.11782743821584253
opera,0.950225793957334,0.6167588246150769
pop,0.7881246595657548,0.14452387336486547
rock,0.8620180393382597,0.5940179352672562
techno,0.9070271580955048,0.5728806579483964
