tag,ROC-AUC,PR-AUC
cello,0.8091542663401771,0.015207865226226913
drums,0.756146547544844,0.2749253874666971
flute,0.7348259491024475,0.05779486484231652
guitar,0.8007682340111616,0.5177774810862676
harp,0.8755666376854389,0.11043332460852837
harpsichord,0.9361486834249481,0.4563665074651338
piano,0.9179649548083859,0.7019545917677702
sitar,0.7886483079935628,0.09419929538470927
strings,0.8225901182375963,0.2784580020200429
synth,0.7798505155576569,0.1748810147870521
violin,0.8610651150862998,0.32176106586658426
