tag,ROC-AUC,PR-AUC
female,0.7752298444505269,0.19749162546791105
female vocal,0.7962722480170245,0.1072816220258152
female voice,0.7191954708946918,0.0623918580462367
male,0.8522443088336474,0.22591045622843894
male voice,0.8167756519439469,0.11009948033288157
man,0.834386542877109,0.16150998341078304
no vocal,0.6356265411070016,0.054377274891625846
no vocals,0.599951026830874,0.06097595096037282
singing,0.7359427082281166,0.139165972087627
vocal,0.7307324474256537,0.2033164582284307
vocals,0.704407646140464,0.1149609857678061
voice,0.6496292193104647,0.06414627100962311
