tag,ROC-AUC,PR-AUC
mood/theme---action,0.6014414029084687,0.02028481428170644
mood/theme---adventure,0.6081726700971983,0.07426750524955394
mood/theme---advertising,0.6843929275928841,0.07402927796795813
mood/theme---background,0.5839686725805162,0.018327865762694386
mood/theme---ballad,0.762498402481672,0.0751293812882212
mood/theme---calm,0.682685780009538,0.03620101890228045
mood/theme---children,0.8401384083044983,0.20777934897600994
mood/theme---christmas,0.6283145760862152,0.11196858907344301
mood/theme---commercial,0.7249737729265877,0.09805556974617023
mood/theme---cool,0.710874252471421,0.022628873079702783
mood/theme---corporate,0.7568743347834624,0.23403183191305976
mood/theme---dark,0.699242223984492,0.17880419514597828
mood/theme---deep,0.9088767967365451,0.4936140791109106
mood/theme---documentary,0.6374834599362901,0.04951078443235149
mood/theme---drama,0.5987624572363528,0.03007464089509953
mood/theme---dramatic,0.6614305619555438,0.035902988027354844
mood/theme---dream,0.573715967398068,0.0711003447840838
mood/theme---emotional,0.6411163522012578,0.1627650691189484
mood/theme---energetic,0.7398647754887622,0.13896960078906592
mood/theme---epic,0.7948624886289346,0.2898351149810746
mood/theme---fast,0.800852534562212,0.030707453467201853
mood/theme---film,0.7388656020747928,0.29595228804587237
mood/theme---fun,0.826792056244111,0.07162801810582088
mood/theme---funny,0.5710590465872156,0.021104843529063104
mood/theme---game,0.6811306340718105,0.03711919778258198
mood/theme---groovy,0.7402266707590174,0.023124690688864476
mood/theme---happy,0.739990378725584,0.21163677920443483
mood/theme---heavy,0.9230622919638611,0.21818436558248203
mood/theme---holiday,0.7011672330690122,0.021627311292877476
mood/theme---hopeful,0.5169309877612669,0.010922257915866007
mood/theme---inspiring,0.5866548725966154,0.06266743089340149
mood/theme---love,0.7293708643129465,0.14660581236803355
mood/theme---meditative,0.8208430575964503,0.1884400213091884
mood/theme---melancholic,0.6040702064308408,0.03428660337976856
mood/theme---melodic,0.6919215322829781,0.1208653523988579
mood/theme---motivational,0.724963293530715,0.18469994788038976
mood/theme---movie,0.4398597836989455,0.021099520312113887
mood/theme---nature,0.6740137358249481,0.03048474553292435
mood/theme---party,0.8358760013932428,0.044557804799010545
mood/theme---positive,0.7211429395601708,0.06360964136302097
mood/theme---powerful,0.7857268522459635,0.09965687313654119
mood/theme---relaxing,0.7168738623217465,0.15954334501665102
mood/theme---retro,0.7945197568827869,0.020691206784512858
mood/theme---romantic,0.7084958334031958,0.07612796292866084
mood/theme---sad,0.6797739705228691,0.12267770340300821
mood/theme---sexy,0.6401170767401445,0.011282257730880898
mood/theme---slow,0.5648861484708575,0.039350022151918844
mood/theme---soft,0.7172356838600191,0.06905249664521859
mood/theme---soundscape,0.8372778151619098,0.03435420521437828
mood/theme---space,0.6777083831380987,0.02191738812767105
mood/theme---sport,0.8026000479271507,0.035303576324216684
mood/theme---summer,0.8812005757019172,0.41449314155063866
mood/theme---trailer,0.8816451920782629,0.16049158950335782
mood/theme---travel,0.592165100264195,0.009565632304033768
mood/theme---upbeat,0.7665255945183395,0.0619716066333495
mood/theme---uplifting,0.6448329986381368,0.03782434946669311
