tag,ROC-AUC,PR-AUC
mood/theme---action,0.5698973481608212,0.020394086230815792
mood/theme---adventure,0.6386289308176101,0.043229134991813946
mood/theme---advertising,0.5393690693788419,0.04420239996104133
mood/theme---background,0.5436865659713898,0.01591498654589486
mood/theme---ballad,0.7319015696343716,0.0679430160994013
mood/theme---calm,0.6403904956938874,0.034920198768099944
mood/theme---children,0.8098235160518898,0.17308339201574827
mood/theme---christmas,0.5994938953686652,0.06388028023861818
mood/theme---commercial,0.4969323164694233,0.045211900844683434
mood/theme---cool,0.5308571661039014,0.01233250570177306
mood/theme---corporate,0.5417179034096975,0.04540816858944602
mood/theme---dark,0.6644388639234,0.15188159253370934
mood/theme---deep,0.7809505810532772,0.13075163168497403
mood/theme---documentary,0.6457641101037327,0.05716502776678121
mood/theme---drama,0.5283206901680797,0.020396055022666164
mood/theme---dramatic,0.5754997476576043,0.026771604691817823
mood/theme---dream,0.5507242606930461,0.06660234456610975
mood/theme---emotional,0.5860189184410598,0.136651134160784
mood/theme---energetic,0.5965430447057223,0.08924768458135085
mood/theme---epic,0.6771978437435293,0.1402028258827259
mood/theme---fast,0.5871351766513057,0.010041095144193386
mood/theme---film,0.7265383614934744,0.2933022713474637
mood/theme---fun,0.7216638004309236,0.06424708548537408
mood/theme---funny,0.5009005958829903,0.018315801937979208
mood/theme---game,0.587651424206046,0.021259661705062192
mood/theme---groovy,0.5787777512532823,0.014573000723484365
mood/theme---happy,0.6500193033467746,0.15370247298310485
mood/theme---heavy,0.7018164526866381,0.10351603454367352
mood/theme---holiday,0.5501987961173674,0.018938666238312328
mood/theme---hopeful,0.4920203904844406,0.009670415602940156
mood/theme---inspiring,0.5194081022518445,0.05073311897853879
mood/theme---love,0.5485381761346207,0.06669672521421367
mood/theme---meditative,0.7426683858203437,0.12025872395606284
mood/theme---melancholic,0.5398045389141368,0.027713463950586912
mood/theme---melodic,0.5665938043672666,0.07080698465044427
mood/theme---motivational,0.6112337583740746,0.07294145674757965
mood/theme---movie,0.45637599588393957,0.019243945536955038
mood/theme---nature,0.6689657781252364,0.02891292448098028
mood/theme---party,0.4929380006966214,0.012455871812725935
mood/theme---positive,0.6429921186697566,0.05156560217531816
mood/theme---powerful,0.6269487244970349,0.030998593691197267
mood/theme---relaxing,0.6801207692396556,0.1455889234971982
mood/theme---retro,0.6137482495271919,0.014551211604129508
mood/theme---romantic,0.6005583407387536,0.046556123384216
mood/theme---sad,0.6270403605205367,0.07731117287213125
mood/theme---sexy,0.44166285557486507,0.0052279529512442606
mood/theme---slow,0.5472279037972211,0.024288254420628465
mood/theme---soft,0.6682729921875885,0.051565577559869166
mood/theme---soundscape,0.7964023699716063,0.032093653520776075
mood/theme---space,0.6674386405291259,0.029279910365233395
mood/theme---sport,0.42938801986497765,0.013114693314383467
mood/theme---summer,0.7413284097356452,0.14186053606337093
mood/theme---trailer,0.7986578382247674,0.07049743770155847
mood/theme---travel,0.6599823869952502,0.012567902616978578
mood/theme---upbeat,0.5581242442563482,0.030114011165038833
mood/theme---uplifting,0.5435911640468112,0.02893563785116698
