tag,ROC-AUC,PR-AUC
guitar,0.9007289449976504,0.7710239264113232
classical,0.9248790171299396,0.6382474935785942
slow,0.811013087884533,0.40151892628336916
techno,0.9430342384887839,0.7396013766348923
strings,0.867923017308189,0.4636825971153544
drums,0.8757315306615161,0.40407316773620094
electronic,0.8722470428467397,0.3957548813695287
rock,0.9715576367185417,0.8225170313690695
fast,0.8971086990718894,0.5241374005171392
piano,0.8924996750292473,0.47072960907256034
ambient,0.8856748419940034,0.2939127837274887
beat,0.9007357384041229,0.40280685858875437
violin,0.9634596594640483,0.6752432494147085
vocal,0.8491404011461318,0.17964005247367162
synth,0.8495083412798508,0.22559204167608407
female,0.9670216375642732,0.45186265494289307
indian,0.9174805970149253,0.6485581078781276
opera,0.9910309859154929,0.6459258227248634
male,0.9118614363911555,0.31592215831126835
singing,0.8978755436600869,0.17692483956719446
vocals,0.8915099715099715,0.1992848162368134
no vocals,0.6115146109412164,0.09504287701200044
harpsichord,0.90930219840315,0.20042306331406434
loud,0.9252495238095239,0.37009089729185135
quiet,0.8996904866470083,0.2669582989968893
flute,0.9012757533543515,0.3345928038988961
woman,0.9671465421081986,0.28601145834965225
male vocal,0.926816377201716,0.32223462899098376
no vocal,0.6290082914796874,0.06082830004745328
pop,0.8491319979455573,0.13635585380060256
soft,0.8011812833241405,0.13662311073352057
sitar,0.9478693060380673,0.7113915881611067
solo,0.8447733149180143,0.15855658597856404
man,0.8949574365265232,0.19179863212926826
classic,0.8940756302521009,0.13018280134694907
choir,0.9564187327823692,0.695886870021511
voice,0.8386929577464789,0.10605581925048614
new age,0.8235150585610709,0.060701390791048464
dance,0.9502680548185827,0.3929708862776952
male voice,0.9114548964977882,0.1734852036313223
female vocal,0.9413110357340064,0.106488431179438
beats,0.8680774032459426,0.12905942147401564
harp,0.9140225724020443,0.19278278883350655
cello,0.9939664963089154,0.8411480989385139
no voice,0.5446193198131183,0.025135909593439577
weird,0.7686555477253152,0.055556727310827204
country,0.9145905677138012,0.407497222413301
metal,0.9734299516908212,0.47580363368321366
female voice,0.9420605306799338,0.15576398081377998
choral,0.9959751189169411,0.2692982456140351
