tag,ROC-AUC,PR-AUC
guitar,0.737006641465612,0.5794271826889781
classical,0.7476622642674303,0.4303835526658746
slow,0.5074027072758036,0.14763345619922613
techno,0.6670337238519057,0.345418561117387
strings,0.5225884784293463,0.15964402199235858
drums,0.5105263157894737,0.12297043979812546
electronic,0.49542403904820015,0.10191780821917808
rock,0.6552916768887798,0.37194037603483326
fast,0.5048198835928897,0.11173633064044025
piano,0.6778299043995131,0.29470448169820596
ambient,0.5138888888888888,0.08531202435312024
beat,0.4987915407854985,0.09315068493150686
violin,0.6608435713027181,0.2833660341032616
vocal,0.5,0.043835616438356165
synth,0.5,0.06246575342465754
female,0.499719416386083,0.023561643835616437
indian,0.5157611940298508,0.10028538812785387
opera,0.509718309859155,0.03684931506849315
male,0.5,0.05589041095890411
singing,0.5,0.033424657534246574
vocals,0.5,0.038356164383561646
no vocals,0.5,0.04438356164383562
harpsichord,0.4994394618834081,0.022465753424657533
loud,0.49942857142857144,0.0410958904109589
quiet,0.5,0.02958904109589041
flute,0.5341972774152552,0.05802514027773424
woman,0.4997211377579476,0.017534246575342465
male vocal,0.49971114962449453,0.05150684931506849
no vocal,0.5,0.04219178082191781
pop,0.5,0.030136986301369864
soft,0.5,0.02684931506849315
sitar,0.5524843199888083,0.1462473143295061
solo,0.5,0.03890410958904109
man,0.49943310657596374,0.033424657534246574
classic,0.5,0.021917808219178082
choir,0.4997245179063361,0.005479452054794521
voice,0.5,0.0273972602739726
new age,0.5,0.017534246575342465
dance,0.5,0.03397260273972603
male voice,0.5,0.025205479452054796
female vocal,0.5,0.007671232876712329
beats,0.5,0.024657534246575342
harp,0.4991482112436116,0.03506849315068493
cello,0.5078125,0.050145547945205475
no voice,0.5,0.023561643835616437
weird,0.5,0.023561643835616437
country,0.499152063312606,0.030684931506849315
metal,0.4997176736307171,0.02958904109589041
female voice,0.5,0.008767123287671232
choral,0.5,0.0016438356164383563
