tag,ROC-AUC,PR-AUC
guitar,0.8162118804117169,0.6853963592626315
classical,0.8524804456538774,0.5659824973776368
slow,0.625100656432838,0.2547665740598309
techno,0.869605142332415,0.6217334799266221
strings,0.6770408163265307,0.3017743739267592
drums,0.5696507323354257,0.18138472049223126
electronic,0.6185928346027934,0.19049083615893758
rock,0.906271666435558,0.7467461352217752
fast,0.6316029573698284,0.2664117098472526
piano,0.7327854129491983,0.35419605689579453
ambient,0.6279012705192087,0.14000563354871715
beat,0.5317291629642793,0.13135771695401027
violin,0.9466771315532347,0.6463300714034491
vocal,0.50625,0.055787671232876715
synth,0.5081874762886176,0.07014179283826003
female,0.7252890663743377,0.25497824839329836
indian,0.6538228855721393,0.26901536199776055
opera,0.9607718309859155,0.575917240501252
male,0.5718280928157681,0.1132242890663519
singing,0.5,0.033424657534246574
vocals,0.5,0.038356164383561646
no vocals,0.5,0.04438356164383562
harpsichord,0.5671483648692989,0.05982848869584585
loud,0.588449523809524,0.1546698912493955
quiet,0.5337850555241859,0.08295281582952815
flute,0.6327748857443116,0.2005104777805365
woman,0.5419339096486335,0.041837809148949356
male vocal,0.5539658541981637,0.10407452128816162
no vocal,0.5,0.04219178082191781
pop,0.5085362095531587,0.04777085927770859
soft,0.5,0.02684931506849315
sitar,0.7606826148118787,0.47386937354948905
solo,0.499714937286203,0.03890410958904109
man,0.5348685922456414,0.07017132550144002
classic,0.5,0.021917808219178082
choir,0.8977961432506887,0.6209191227341913
voice,0.5,0.0273972602739726
new age,0.5,0.017534246575342465
dance,0.5687153495690996,0.10444901969574422
male voice,0.5,0.025205479452054796
female vocal,0.49972390944229705,0.007671232876712329
beats,0.5,0.024657534246575342
harp,0.5,0.03506849315068493
cello,0.9567273566155593,0.7464084174216342
no voice,0.5,0.023561643835616437
weird,0.5,0.023561643835616437
country,0.6591849713316644,0.29671102345047606
metal,0.7408923604575778,0.279738946642216
female voice,0.5,0.008767123287671232
choral,0.8298572996706914,0.14448733914487338
