tag,ROC-AUC,PR-AUC
guitar,0.8946703660138934,0.7725977531334226
classical,0.9267477809913234,0.6327951234896273
slow,0.813036409597782,0.3858474201571719
techno,0.9420226238408056,0.7258554304327143
strings,0.8799560836993026,0.4737781808732705
drums,0.8612940608401738,0.3896458472884788
electronic,0.8616550873532904,0.3506653243303193
rock,0.9692723277618371,0.8165690392130132
fast,0.9001195532483877,0.5214712937825635
piano,0.8861125226002388,0.4526663528150118
ambient,0.8693134019284282,0.2814458442068194
beat,0.8944375333214858,0.4342354754653986
violin,0.965606029056078,0.6874897424716967
vocal,0.85810888252149,0.2036025951121621
synth,0.8400596757820911,0.21857625806192096
female,0.9620494349176519,0.4074586427751701
indian,0.9007920398009951,0.5028242245255731
opera,0.9881464788732394,0.6045776609608932
male,0.9205785622432375,0.3126266589005789
singing,0.9100683989442772,0.22711246017194806
vocals,0.8942205942205942,0.22416609660678094
no vocals,0.6663339562804395,0.08327727536285952
harpsichord,0.896669583287761,0.15552623299041096
loud,0.9160533333333334,0.3652147953723028
quiet,0.9165150469498295,0.31087631797712745
flute,0.8936016814526969,0.34469110588447033
woman,0.9537785833798104,0.26981549159412593
male vocal,0.9352606413707486,0.355963506464612
no vocal,0.6172025914588843,0.060081532225068755
pop,0.856065742167437,0.15487000403203843
soft,0.815395752895753,0.10984887424673451
sitar,0.9340196009854898,0.6493099343606363
solo,0.8457449371256043,0.155355750034051
man,0.913962306233969,0.24614405349364574
classic,0.9035154061624651,0.1784896469480068
choir,0.9694214876033058,0.6658530081582058
voice,0.8294309859154929,0.10337472937989191
new age,0.8113845510317903,0.04868005159032967
dance,0.951301849852707,0.3860875904086179
male voice,0.9266808417039372,0.20526067366710687
female vocal,0.912005995109253,0.18047554048854342
beats,0.8935205992509363,0.16034242104335894
harp,0.9115559341283361,0.1655992745735553
cello,0.9921653180011357,0.8045486742611245
no voice,0.6366898963798189,0.06811893325418547
weird,0.7482055699109963,0.06645041831934569
country,0.9200415892756199,0.5002542084668978
metal,0.9693623606667086,0.40423974340988017
female voice,0.933768656716418,0.09656532583550403
choral,0.9928649835345773,0.15617588031381135
