tag,ROC-AUC,PR-AUC
guitar,0.8930227198582517,0.7656564304761969
classical,0.9315396049713393,0.6314626346277954
slow,0.8004479848327319,0.36530181926655675
techno,0.9443107397652852,0.7376611152792255
strings,0.879736502195815,0.4817953292906363
drums,0.8659069692580075,0.3709702979455496
electronic,0.8611433669887881,0.3327215189766705
rock,0.9669203528495697,0.8179494933670214
fast,0.8917225106182161,0.5075480668647211
piano,0.873474114602413,0.4052637835774638
ambient,0.8666548027351755,0.2875625615025036
beat,0.8946614537053492,0.3973238363984344
violin,0.9684291457769377,0.6738409524614875
vocal,0.846611747851003,0.19806005136270025
synth,0.8395880115250136,0.22658392067026
female,0.9594524051888392,0.4832628527541232
indian,0.900792039800995,0.5370188233088797
opera,0.9902760563380282,0.6352302099186898
male,0.9120150671992534,0.29800962298272704
singing,0.9018345042935207,0.21061756847557345
vocals,0.8928449328449328,0.19653894021664187
no vocals,0.6137303205346019,0.06456392903505323
harpsichord,0.9091791534507274,0.1964640563388064
loud,0.9102171428571428,0.35195736581443643
quiet,0.8915239350021958,0.2908461136580743
flute,0.8991250580443336,0.3056471014390978
woman,0.9617958728388176,0.2948032625956177
male vocal,0.9292746782698477,0.331976103826947
no vocal,0.6116675086926803,0.06027463612326038
pop,0.8627221366204417,0.13943346350218283
soft,0.8235888950174665,0.1600357639774408
sitar,0.9300403366830655,0.6268174517202807
solo,0.8587614627330689,0.1856887223490378
man,0.9036095312441916,0.22563440461584297
classic,0.9218347338935574,0.20105551435098545
choir,0.9660055096418733,0.6683100730115656
voice,0.821307042253521,0.10609677738526398
new age,0.8089619353039599,0.051955206503488095
dance,0.9510090937368489,0.3697097155507503
male voice,0.9278050687978103,0.20795792675994085
female vocal,0.9618600615287528,0.1581330347821249
beats,0.8830711610486892,0.14459459557289484
harp,0.9178644946053379,0.18892759403868048
cello,0.9945609738784782,0.8618102403165795
no voice,0.5507791089186438,0.02707807019766378
weird,0.7415759663821679,0.06850904666512013
country,0.9288843575870145,0.5075656932288208
metal,0.9743710395884309,0.4606504633019743
female voice,0.9403676064123825,0.11768554306447827
choral,0.9948774240761068,0.36904761904761907
