tag,ROC-AUC,PR-AUC
guitar,0.8858021088673591,0.7587644771299299
classical,0.927958796962487,0.6264151411260621
slow,0.799173852771492,0.3510341047148386
techno,0.9447572629390811,0.7397075923310877
strings,0.8714363213639885,0.47099127361472803
drums,0.8536938676967649,0.351537868246714
electronic,0.858260019550342,0.32693989389774736
rock,0.9651630382609252,0.8129843307228614
fast,0.885527764668869,0.49462427048762236
piano,0.8680086973990522,0.36463449461732
ambient,0.8557723419400765,0.24640235876568617
beat,0.893197085480718,0.3803342917138876
violin,0.9681127965273664,0.6620312783264706
vocal,0.8486676217765042,0.19447353331413886
synth,0.8387728526459339,0.2172451860419295
female,0.9583170203325243,0.4834350735943443
indian,0.8974786069651742,0.5315109403679938
opera,0.9909859154929578,0.7094378062101764
male,0.9036222730531562,0.2724547662567629
singing,0.9026244377532434,0.20053133084277597
vocals,0.8889214489214489,0.18571343608629243
no vocals,0.6087609015743572,0.06488593599939767
harpsichord,0.8971754347588319,0.17565812131719238
loud,0.9132800000000001,0.3491738921765053
quiet,0.890028650898216,0.2918176924064041
flute,0.8990639587457536,0.28543718439221955
woman,0.9619178750697155,0.32611528603401957
male vocal,0.9258023280111115,0.2891596817245139
no vocal,0.6353160569407709,0.06785018363252837
pop,0.8553775038520801,0.13496030055296265
soft,0.8206471777900349,0.14829268335885484
sitar,0.9284276465605011,0.627627492594953
solo,0.8493021985963672,0.20261160195502337
man,0.8967231701423739,0.20476860460667065
classic,0.9099579831932774,0.1899884587600564
choir,0.9660606060606061,0.5779309882962635
voice,0.8191661971830986,0.09303914607834654
new age,0.7951059676519798,0.04950886081853442
dance,0.9496002049292811,0.3646939699605442
male voice,0.9186646137302344,0.16310223697580864
female vocal,0.9536956693223948,0.12582390395669393
beats,0.8713607990012484,0.12522073651495363
harp,0.9140225724020443,0.18913820770672257
cello,0.9936648211243612,0.8160985745125603
no voice,0.5532847858429253,0.028552398657368742
weird,0.7363427557226007,0.06296707767077268
country,0.9283695388839537,0.48296168890209484
metal,0.9742560177342786,0.46866429438652385
female voice,0.9343214483139857,0.11463324635859388
choral,0.991218441273326,0.22907647907647907
