tag,ROC-AUC,PR-AUC
guitar,0.8016763789496367,0.6492034807591072
classical,0.8176791710002043,0.5205263735646256
slow,0.5685062585366849,0.19985277501252766
techno,0.8617745890473164,0.6264269757589123
strings,0.6537819684835959,0.2940385116177827
drums,0.5325156929019798,0.13433309300648882
electronic,0.574875186154684,0.15176623567918307
rock,0.8819492592079018,0.7124260467545556
fast,0.6281469246499921,0.2543061941365004
piano,0.626195006085816,0.20340528201842445
ambient,0.5701562803339159,0.10527198141845441
beat,0.5175724186955749,0.10926893239165128
violin,0.929720411334113,0.6538661756239965
vocal,0.5056769340974212,0.04745433789954338
synth,0.5154982722733192,0.07422931550545105
female,0.7261047164147939,0.23176297375916569
indian,0.6645671641791046,0.2850824511352651
opera,0.8250816901408451,0.4486509228348874
male,0.5158239732340992,0.06292585043687096
singing,0.5,0.033424657534246574
vocals,0.5,0.038356164383561646
no vocals,0.5,0.04438356164383562
harpsichord,0.535101990593897,0.04826094219846308
loud,0.6227352380952381,0.20254690353580426
quiet,0.5272183533053099,0.06374767461525452
flute,0.5839932057579978,0.12311024732766997
woman,0.5908568042387061,0.08455907534246575
male vocal,0.512795457059626,0.06506058208768789
no vocal,0.5,0.04219178082191781
pop,0.49971751412429377,0.030136986301369864
soft,0.5,0.02684931506849315
sitar,0.7473711208002053,0.43966972292978507
solo,0.5,0.03890410958904109
man,0.4991496598639456,0.033424657534246574
classic,0.5,0.021917808219178082
choir,0.8984848484848484,0.4953816046966732
voice,0.5,0.0273972602739726
new age,0.5,0.017534246575342465
dance,0.5697354216602931,0.10598749414410973
male voice,0.5,0.025205479452054796
female vocal,0.5,0.007671232876712329
beats,0.5,0.024657534246575342
harp,0.5,0.03506849315068493
cello,0.9346252129471891,0.7584922904746367
no voice,0.5,0.023561643835616437
weird,0.5,0.023561643835616437
country,0.5443602115803924,0.10234996738421395
metal,0.6439289374071983,0.1858458126708237
female voice,0.5,0.008767123287671232
choral,0.8315953165020123,0.4172146118721461
