tag,ROC-AUC,PR-AUC
guitar,0.8488505385902376,0.7143418084292911
classical,0.9145378905526507,0.5749560788554686
slow,0.7502191507145333,0.3107246527978259
techno,0.8856648402102949,0.5629013263732927
strings,0.8092405063291139,0.3742415551124889
drums,0.7168775148881379,0.20803556062953169
electronic,0.7638443320409115,0.21576166966280289
rock,0.8303031434331368,0.49268963903595236
fast,0.790438886267107,0.3113757683742584
piano,0.7683431218463066,0.1328052297841679
ambient,0.8040671714230246,0.2651102830089428
beat,0.7722445352763461,0.28090184167951293
violin,0.9241562685204465,0.5102627700346087
vocal,0.6727578796561605,0.08023661197804048
synth,0.7171655028863803,0.11949357041329232
female,0.7800615978910552,0.11120217206858919
indian,0.7970228855721394,0.23161297149915155
opera,0.9495323943661972,0.2550879966111208
male,0.7968773115746588,0.2021404741488866
singing,0.7623415486413144,0.08835064736747082
vocals,0.6932926332926332,0.0734990602011709
no vocals,0.5269707781175672,0.05051934325362112
harpsichord,0.8475746472711364,0.13475492352942614
loud,0.6868571428571428,0.10972976026261633
quiet,0.791099399795052,0.11587297796723944
flute,0.7353667179900775,0.06588272045465564
woman,0.7772587841606245,0.04904013774889878
male vocal,0.7748073306537853,0.14816878918458729
no vocal,0.5594222710927517,0.05089211460303477
pop,0.5965896250642013,0.038828685621687405
soft,0.8021810075381504,0.10240343382463116
sitar,0.8311999191711938,0.2458343710991092
solo,0.8164115823791094,0.14136633363086962
man,0.806271142336716,0.12972124068172122
classic,0.9025070028011204,0.14768901127983614
choir,0.9320661157024794,0.4201681254735077
voice,0.5748507042253521,0.03055124199040312
new age,0.6916306469604014,0.03154311432295324
dance,0.8080526229118256,0.13314107558796637
male voice,0.7352811789720654,0.06218087533257032
female vocal,0.7061213220793563,0.020362387243129623
beats,0.7467166042446942,0.06255183864470114
harp,0.8730391113003975,0.14906974283323135
cello,0.8917873367404884,0.37871193083296373
no voice,0.49561506538250727,0.030157770363126696
weird,0.5990655913136533,0.07859046331187616
country,0.8368024711297748,0.14089985646798905
metal,0.7845222410439802,0.11296741769760862
female voice,0.6408236594803758,0.015872136715776683
choral,0.9924990852542993,0.23337623337623337
