tag,ROC-AUC,PR-AUC
guitar,0.7670870334288099,0.6060232232769971
classical,0.719014612926052,0.37434847063717963
slow,0.5411060485597211,0.1657869264316793
techno,0.6294223453314362,0.2908065762476643
strings,0.503274347713769,0.13566396421582333
drums,0.5017125382262997,0.10487743330930066
electronic,0.5094553458376797,0.10634654097314282
rock,0.6137414534244968,0.2850762241246778
fast,0.5022573540978449,0.10886547242711628
piano,0.5731036479444123,0.07508094471654221
ambient,0.5083910351819496,0.07042787079316759
beat,0.5,0.09315068493150686
violin,0.6060030273421858,0.18220377939455518
vocal,0.5,0.043835616438356165
synth,0.5043859649122807,0.07068973804373949
female,0.5,0.023561643835616437
indian,0.5168119402985074,0.09347895088539926
opera,0.4994366197183099,0.0273972602739726
male,0.5353293958326221,0.08138546742898073
singing,0.5,0.033424657534246574
vocals,0.5,0.038356164383561646
no vocals,0.5,0.04438356164383562
harpsichord,0.5219156731926063,0.0379995747653616
loud,0.5,0.0410958904109589
quiet,0.5,0.02958904109589041
flute,0.5173033213578708,0.03739461319568527
woman,0.5,0.017534246575342465
male vocal,0.5083274948682964,0.054666278053045754
no vocal,0.5,0.04219178082191781
pop,0.5,0.030136986301369864
soft,0.5,0.02684931506849315
sitar,0.5095537317260836,0.08765634162894437
solo,0.5,0.03890410958904109
man,0.4977324263038549,0.033424657534246574
classic,0.5,0.021917808219178082
choir,0.55,0.10493150684931507
voice,0.5,0.0273972602739726
new age,0.5,0.017534246575342465
dance,0.5,0.03397260273972603
male voice,0.5,0.025205479452054796
female vocal,0.5,0.007671232876712329
beats,0.5,0.024657534246575342
harp,0.5,0.03506849315068493
cello,0.5,0.03506849315068493
no voice,0.5,0.023561643835616437
weird,0.5,0.023561643835616437
country,0.5429469837680692,0.06934130937555595
metal,0.5092592592592593,0.047559614408929474
female voice,0.5,0.008767123287671232
choral,0.5,0.0016438356164383563
