tag,ROC-AUC,PR-AUC
guitar,0.852466081834589,0.7198006592313092
classical,0.9149178171318393,0.5881850093718596
slow,0.7512180702505453,0.31549855368970314
techno,0.8872289326834781,0.5625658403039555
strings,0.8091320072332729,0.3846736315407725
drums,0.7286785771768872,0.209425952805785
electronic,0.7641428355868711,0.219195488540576
rock,0.8408283644974454,0.49951398344984843
fast,0.7899921346547115,0.31419742479130636
piano,0.7726031929853586,0.13760022410230577
ambient,0.8042882719644513,0.2597713235517758
beat,0.7776897103252176,0.28470904763960037
violin,0.9260343419134724,0.5113034880160623
vocal,0.6792048710601719,0.07951795804583531
synth,0.7168937832600204,0.11669066589487279
female,0.7846814397201993,0.09966925755824249
indian,0.7968915422885572,0.23574982735061906
opera,0.9521239436619717,0.24578081918313333
male,0.8055375371274454,0.20551878133116
singing,0.7666536559979182,0.09000543218477243
vocals,0.7014000814000816,0.07912624889567337
no vocals,0.5291510929890135,0.06187218091270932
harpsichord,0.8630919829377666,0.15158441464231348
loud,0.6883352380952381,0.10971578125343662
quiet,0.797206014597319,0.13649581889053344
flute,0.7212283402986533,0.06204143971419988
woman,0.7885875627440044,0.05014230471775753
male vocal,0.7841304374546751,0.14844704980565956
no vocal,0.5676097358019555,0.054134970264306706
pop,0.6061222393425783,0.03999881323803485
soft,0.8012502298216584,0.13048967705098866
sitar,0.8308462931443182,0.24138906583068054
solo,0.8217434596174539,0.14214911448988848
man,0.8035667819040184,0.1182027323703149
classic,0.8958963585434174,0.15477817599014942
choir,0.9250688705234159,0.46476028812128395
voice,0.5942647887323944,0.03210364639777101
new age,0.6967721695482432,0.03398312051143547
dance,0.809424917204911,0.14503651788283242
male voice,0.7334482000146639,0.06227294891290762
female vocal,0.7075412163761142,0.019167815376389508
beats,0.7584019975031211,0.06415043214316861
harp,0.8795517461669506,0.1540525061306895
cello,0.9027541169789892,0.3888847841567446
no voice,0.496104455406781,0.03583904628255019
weird,0.6153133401195418,0.08419786002870101
country,0.8398610998950173,0.1421503787836251
metal,0.7938076416337286,0.12505295910722874
female voice,0.658271144278607,0.01772687000338965
choral,0.991218441273326,0.17845117845117844
