tag,ROC-AUC,PR-AUC
guitar,0.8439480056148668,0.7154633381465861
classical,0.9006931285529071,0.5861222980331476
slow,0.7533178398874686,0.3052499646312643
techno,0.8763761491034218,0.531571407246508
strings,0.7803694135882201,0.31386002805283353
drums,0.7061194270078868,0.20612153532234156
electronic,0.7488469890504963,0.2083043192857048
rock,0.8390897163763587,0.5392178226190918
fast,0.7540726757904672,0.2477154816796713
piano,0.7649102489866821,0.14245677019342787
ambient,0.7974125843956944,0.2191497693901042
beat,0.7549315798827083,0.2560314982031896
violin,0.9310598901186911,0.5091323116329592
vocal,0.6761962750716332,0.08888349983777208
synth,0.6983040593886821,0.1208952367422927
female,0.7952392138438651,0.12301465168624244
indian,0.7639840796019901,0.20069327338468052
opera,0.9481239436619717,0.27951680557105973
male,0.7888998896134195,0.21544750265522483
singing,0.7420913720679527,0.06910634334211439
vocals,0.6764753764753765,0.06001054147277966
no vocals,0.5114678899082569,0.04743633153141266
harpsichord,0.8594143060264683,0.12696599952868476
loud,0.673272380952381,0.07977535834627805
quiet,0.7748499487629923,0.08495954139904832
flute,0.7209839431043332,0.04833460289261145
woman,0.7952453987730063,0.05802364993080397
male vocal,0.778291972417862,0.1781742032346662
no vocal,0.5725207286992184,0.05412998239442779
pop,0.5693477144324601,0.03638948439717818
soft,0.7727753263467549,0.09695460842143931
sitar,0.8007686508584174,0.20879210402992263
solo,0.791149404981772,0.12686247548036608
man,0.8021077283372364,0.13309188484674173
classic,0.8825350140056023,0.13938287667490287
choir,0.9242424242424242,0.42561382803276626
voice,0.5809690140845071,0.030730588957560433
new age,0.685547964305633,0.03909372943617444
dance,0.768722668471996,0.12900737591255962
male voice,0.7178556590170345,0.0712028913903486
female vocal,0.700757276958271,0.017414982623184836
beats,0.699063670411985,0.04518394525687575
harp,0.8880430153321975,0.16004982114675032
cello,0.9190268313458263,0.33262326420774935
no voice,0.5031581969566465,0.025583062187085434
weird,0.6001618249680265,0.04055434178180695
country,0.8750605669062423,0.23919638452907815
metal,0.7929188363970974,0.12570728681059984
female voice,0.6275566611387507,0.01595011167519135
choral,0.9853640687888766,0.06792929292929292
