tag,ROC-AUC,PR-AUC
guitar,0.8405644198220363,0.7063595880081305
classical,0.9035366415440217,0.5725351260788187
slow,0.7471255580698427,0.3034519451013513
techno,0.8768378086559904,0.5400250905150884
strings,0.7880728493929218,0.3235818473771027
drums,0.71292129406084,0.2051162199681135
electronic,0.7520058782236743,0.21093562768233032
rock,0.8261805207411121,0.49391550110538995
fast,0.7681956897907818,0.2675610453125238
piano,0.7672618555239119,0.14648373420314237
ambient,0.7979572467050627,0.22566767025885764
beat,0.7596587879864938,0.25367457322367765
violin,0.9175049254376832,0.4657312981158578
vocal,0.682585959885387,0.08450137294092674
synth,0.7200211223558605,0.12528418434392444
female,0.7719311982877874,0.12762837633544555
indian,0.781265671641791,0.20388812694066688
opera,0.9418366197183098,0.28402376769061977
male,0.7909483003880601,0.2236833446007394
singing,0.7585498680346456,0.07954565997888653
vocals,0.6908099308099308,0.06760079263281571
no vocals,0.521640332993544,0.05273161267844496
harpsichord,0.8371294979765942,0.1203457041171821
loud,0.6803885714285713,0.08738686402790533
quiet,0.7816571512223687,0.08858594806688605
flute,0.7336192780506879,0.054780124964795895
woman,0.7728144171779141,0.04722260281852409
male vocal,0.770161141635016,0.15627644797034113
no vocal,0.5854631638384499,0.05605623427902899
pop,0.5866461222393425,0.040893581919235505
soft,0.7789115646258503,0.08532720103843376
sitar,0.8142103258799847,0.2232648020833933
solo,0.7901617229029824,0.1557766764669414
man,0.8046541020779897,0.14453222676995797
classic,0.8852801120448179,0.1293953078142211
choir,0.9395041322314049,0.3097253947923621
voice,0.5744450704225352,0.030493484814021254
new age,0.6694785276073619,0.03439755503686356
dance,0.7844125665562732,0.14598636157084066
male voice,0.7217049148275778,0.06349077067038625
female vocal,0.7103021219531435,0.019714996713616283
beats,0.7096878901373282,0.048820773355216784
harp,0.8770318710959681,0.15171962443258377
cello,0.888770584894946,0.2967698175575899
no voice,0.5042805314123144,0.03222764185531214
weird,0.5878422467569755,0.04526077331638746
country,0.8490067027376241,0.18130940260042414
metal,0.7768680594767552,0.10995187841344875
female voice,0.6159134881149806,0.014638968499248365
choral,0.9844493230881814,0.1248097412480974
