tag,ROC-AUC,PR-AUC
action,0.7155202950238978,0.08674421248160444
adventure,0.5881806163761052,0.04675942372160512
advertising,0.7095526582726114,0.08169919850597217
background,0.6039041777188329,0.011540862299950478
ballad,0.7188513115237253,0.06847463246440554
calm,0.7174538211923285,0.051889698911787956
children,0.6217551913515882,0.049115667262658314
christmas,0.6565218652128524,0.03455593658305033
commercial,0.6636120042872454,0.03437574269702948
cool,0.6029255651305108,0.011865623614483326
corporate,0.6823920204641235,0.10115217261404252
dark,0.6627122527430563,0.1245214799229082
deep,0.7733881518924439,0.23748365611643074
documentary,0.6520661102234834,0.04790476363022999
drama,0.7167923850574713,0.05506469603569023
dramatic,0.6283954664668415,0.019546192353163322
dream,0.6094696740642196,0.07801811309724559
emotional,0.66125550365284,0.14927405769280516
energetic,0.7579382306148438,0.15089060419087957
epic,0.8839410587353492,0.39789263305719064
fast,0.8319039276401564,0.02402170714717944
film,0.7241640224554552,0.15587637785558356
fun,0.7219887426868143,0.09190635892189801
funny,0.6465478560005522,0.008592680504829038
game,0.6274853324641461,0.010359576142555851
groovy,0.7575469783087808,0.06405901011010276
happy,0.7239410646956731,0.21688796726336593
heavy,0.9518560505559709,0.31143228673074275
holiday,0.4986120065228109,0.008847332671458537
hopeful,0.6427981353631911,0.016191005155927456
inspiring,0.551032340104618,0.0482537122026799
love,0.6099674147264413,0.10039932825734989
meditative,0.7123648714348833,0.08783414180806136
melancholic,0.5910542078247307,0.03697863070899962
melodic,0.5825852725937555,0.11862112444452937
motivational,0.6978696002146498,0.07633932049133314
movie,0.635925509227385,0.06935558062593544
nature,0.6535600337580535,0.03046204823082498
party,0.8085055969671354,0.09063081920082233
positive,0.5712488295880149,0.023876337386586996
powerful,0.6294869252344392,0.0211537154846489
relaxing,0.7277940984329448,0.1433486342712849
retro,0.5233234544523059,0.012128729476974845
romantic,0.7063527116803768,0.06327192762638027
sad,0.6651925886633723,0.0714810822124823
sexy,0.6819353217759592,0.041178765415785426
slow,0.6790137747424472,0.025471212233831524
soft,0.7143993263473054,0.06565784915379763
soundscape,0.6420900454357703,0.020333414494571284
space,0.6676117667863987,0.04732809319412752
sport,0.8669528497119526,0.04867025063790962
summer,0.8021178498138886,0.12464405699155463
trailer,0.9001910147564562,0.18735613157907374
travel,0.5885522874217634,0.044729664821746215
upbeat,0.580411402856907,0.043107265312377914
uplifting,0.5734115410374403,0.048144353379991234
