tag,ROC-AUC,PR-AUC
action,0.7202125336632943,0.10639029352050951
adventure,0.5627599217824781,0.048071639261896254
advertising,0.712720437012014,0.0775671908284554
background,0.6358753315649868,0.012938866395946042
ballad,0.7502256483937518,0.11308103913024484
calm,0.6880746349378042,0.047144005623462444
children,0.6810487431464576,0.07514289331964852
christmas,0.6398909639252985,0.033658089662926896
commercial,0.6838079926504363,0.04691377458519611
cool,0.695391532409142,0.016597900983198164
corporate,0.7142429930620732,0.12648360922437418
dark,0.6795203303184261,0.12423783950765464
deep,0.7930638216921542,0.24527503470859402
documentary,0.6534892611769281,0.04652751168930049
drama,0.7137062978927204,0.05324031094575521
dramatic,0.6690942300487074,0.021605826086600183
dream,0.646727540263248,0.09239336620588168
emotional,0.6669162875600168,0.1549996465985867
energetic,0.7559095549780718,0.15159332851923188
epic,0.8895897338747539,0.40163703069711637
fast,0.8885267275097783,0.04369911814352435
film,0.735169858211108,0.1593464720240801
fun,0.7454027706895661,0.10278710942037057
funny,0.6906013783264493,0.010160089985186398
game,0.6597742829204694,0.014625203730448767
groovy,0.795550110196033,0.08736152985539876
happy,0.7200876024896763,0.2228436956822945
heavy,0.9697452101272743,0.45695815006554796
holiday,0.4562744131366377,0.008113064198286822
hopeful,0.6635540213607128,0.017844644962628352
inspiring,0.566542513077244,0.05300765626663571
love,0.5998291900982814,0.10035137702348017
meditative,0.7014624676518805,0.09301941347591178
melancholic,0.6099802050763851,0.04091256519107319
melodic,0.5747029386442482,0.11644774645955475
motivational,0.7020624273320812,0.06983102226832376
movie,0.6221246134765639,0.05754884215451502
nature,0.6563718326094564,0.036591472713040904
party,0.8235834678142371,0.12367034370600419
positive,0.6013284176029962,0.026126760792875396
powerful,0.6704875768478907,0.023184216573268638
relaxing,0.7353598959651801,0.15050157383820312
retro,0.5134856453589796,0.011897057210993874
romantic,0.6850834575535066,0.05675769004609611
sad,0.6896116586169352,0.08353763341331336
sexy,0.7004917267865476,0.03316956296209687
slow,0.7022954548885992,0.026170812177807493
soft,0.7001373673108329,0.0604941845914571
soundscape,0.6538989201628607,0.020410101650397104
space,0.7075871825869652,0.049306283434709816
sport,0.8671625929861849,0.046153390161169566
summer,0.7981883382045063,0.15203992101217953
trailer,0.9079297548895625,0.1923476687972947
travel,0.6010701642767419,0.03270771121966054
upbeat,0.5792884567748329,0.0490149277568555
uplifting,0.5995802866306462,0.04737714546805468
