tag,ROC-AUC,PR-AUC
action,0.6163670330203557,0.0921505971231269
adventure,0.6115873474896032,0.028935649143964216
advertising,0.6291670156434666,0.05736622354598685
background,0.6145888594164456,0.012472619205202415
ballad,0.4553308281756558,0.016248615417080992
calm,0.7353871115363814,0.07564632724150878
children,0.6642511471055975,0.06086223950844501
christmas,0.6042004987820438,0.025205259399804905
commercial,0.6255167661920074,0.031910949112016286
cool,0.4922879980017485,0.00865884514739706
corporate,0.6127091039584829,0.04669927249650861
dark,0.5900889924972815,0.10668686593944096
deep,0.7501057936073485,0.11039461519464487
documentary,0.6456265731453185,0.047959485418911346
drama,0.7061991139846743,0.06034623446581636
dramatic,0.585706257025103,0.01299645832914469
dream,0.6621045063930715,0.09472823729296158
emotional,0.5928927158671886,0.1251742253388352
energetic,0.576021222328179,0.07867790843728263
epic,0.7901226432966255,0.19173935849367654
fast,0.463758963494133,0.00801944515492216
film,0.713380078549715,0.12652915283501537
fun,0.6925895518524272,0.12181506690559082
funny,0.5990887858531702,0.008879351009994717
game,0.6202941655801825,0.012825751754778408
groovy,0.4871063391717898,0.026234748821533635
happy,0.6261412262852356,0.16307089034440495
heavy,0.747453307283501,0.04654909920023111
holiday,0.5280935947514127,0.009356643059820972
hopeful,0.46767126925119495,0.008324297566817304
inspiring,0.5776381133468117,0.04678822483091703
love,0.4679284700688495,0.051906923488678716
meditative,0.692109020626031,0.08800653678495952
melancholic,0.4998657557584678,0.028105169872758802
melodic,0.4765452887999797,0.08971381754937038
motivational,0.5297451033002415,0.02208343474711759
movie,0.6273710169194713,0.046846172969717687
nature,0.6988122928716988,0.04484337843474905
party,0.6327710750787675,0.034458936694969106
positive,0.551636068753344,0.021942488926742956
powerful,0.48030144204889935,0.012895729074506356
relaxing,0.7210745024865466,0.18200853837685788
retro,0.45652103423453794,0.010268664156989231
romantic,0.4962434899427667,0.029150139731190024
sad,0.6023414016769499,0.057711256195869344
sexy,0.6770108754172499,0.038384577022434925
slow,0.6708103292953592,0.027148281321451345
soft,0.6547189711486119,0.05781948295214441
soundscape,0.6567239039357998,0.02264491684835647
space,0.6915001869906678,0.05832111186952174
sport,0.5936363890597908,0.02208743147290676
summer,0.7190029049366156,0.061606680756988955
trailer,0.7640307133608404,0.052800059109670616
travel,0.5975573282870302,0.027119557853246573
upbeat,0.4495840558170259,0.029569789624622558
uplifting,0.4977865373548827,0.043166512107117444
