tag,ROC-AUC,PR-AUC
action,0.7258364267171313,0.07877556578320744
adventure,0.5250351152606791,0.03257725598369257
advertising,0.6984300697022995,0.07538945189779458
background,0.541006299734748,0.009037251725939943
ballad,0.7787816828765104,0.08891315946761191
calm,0.7240790240046595,0.11466509593279743
children,0.6523180545636664,0.07348236722803872
christmas,0.5987994432200441,0.03190669323204236
commercial,0.6672331955290154,0.0408961789864715
cool,0.6035266017234919,0.013306155529622481
corporate,0.7127845562119288,0.13141847456732597
dark,0.7482837334419523,0.14926571527890029
deep,0.7909867728873309,0.21642469192894248
documentary,0.613895168579302,0.04323200922512967
drama,0.713604525862069,0.04969628414754644
dramatic,0.6313069813912826,0.013987070472750236
dream,0.6140318343378148,0.07630837645872166
emotional,0.660983929130433,0.15296179044210806
energetic,0.7535910685360465,0.16748192431075065
epic,0.8897758815244339,0.3816129968156965
fast,0.8908490873533246,0.08064785592734044
film,0.7076138490099926,0.1422507622139871
fun,0.7521468036479021,0.10639099920089133
funny,0.7264631775141802,0.013040510211039935
game,0.5685503585397653,0.014192113944440376
groovy,0.811934520357267,0.0789734435287456
happy,0.7154194595726855,0.2260688111511896
heavy,0.9635141545462584,0.42252484930808026
holiday,0.41718305586104887,0.008000482237689661
hopeful,0.7164468637516964,0.020529341142855775
inspiring,0.5814810580533359,0.054429018449633354
love,0.5995388132653597,0.09948613830352766
meditative,0.7015682334216421,0.08998760343871987
melancholic,0.6437170033756325,0.050721013285925286
melodic,0.5964935048492062,0.1547488566951434
motivational,0.707786423396834,0.0648807146056349
movie,0.67346716020122,0.08112695775815518
nature,0.7312159074535312,0.043190159031778676
party,0.8170739516893362,0.15575336373764556
positive,0.6531588583467094,0.029021088658620867
powerful,0.6697509703374224,0.026639819137467362
relaxing,0.7186328689602235,0.16667630024327337
retro,0.5142962756402358,0.012245219263773657
romantic,0.677209278786875,0.07514903764928124
sad,0.6776143015345674,0.07720596148180156
sexy,0.6841247622124116,0.019946029621895983
slow,0.6958132231488146,0.027739844788677432
soft,0.7099487105334785,0.06455829198645013
soundscape,0.612645305953856,0.016626575412013435
space,0.6745608618385387,0.04109746456896808
sport,0.7944725655797304,0.028393037768321167
summer,0.7814087017805692,0.12414172553840586
trailer,0.9315045998316352,0.18974747167281422
travel,0.5637122954697467,0.015230761587590055
upbeat,0.5873844026091982,0.04071320464547129
uplifting,0.6209027863704123,0.051571626870223694
