tag,ROC-AUC,PR-AUC
action,0.7260596355872577,0.08082914353892942
adventure,0.5239851001129197,0.033032728771072106
advertising,0.7032822431298101,0.07886438689698001
background,0.5449353448275862,0.008989667376210824
ballad,0.7794701407309165,0.09507105348178094
calm,0.7252061925365062,0.10206987999126016
children,0.6529683282490297,0.07063964929020194
christmas,0.5988683157406334,0.0322147501372709
commercial,0.6763856989741234,0.043619945923219515
cool,0.6175299737729487,0.012477450095014775
corporate,0.7151677432415025,0.13834654184479178
dark,0.7441535408491442,0.14993806609775506
deep,0.7910760665742672,0.21331969095699133
documentary,0.6157448228464344,0.04286417608225395
drama,0.7194893438697318,0.05375762978762115
dramatic,0.6344838890970401,0.014409198576117912
dream,0.6168551329342283,0.07740959548962911
emotional,0.6605912030995271,0.15215940767381148
energetic,0.7562847457301007,0.16829337939569478
epic,0.89134907626288,0.3812443721783565
fast,0.894098353976532,0.07773812326205035
film,0.7091626541223808,0.14428671967620083
fun,0.7513332001982235,0.10657291693058986
funny,0.7009790949986768,0.011724766663336779
game,0.5711477346805737,0.01319160333431073
groovy,0.8158276302053126,0.09228804735808399
happy,0.7092274373092345,0.22180577334057608
heavy,0.9625815062270355,0.41500343378684346
holiday,0.42910614737001784,0.008293728417076866
hopeful,0.7188366672567416,0.02064667260989752
inspiring,0.5768117598921729,0.054056291550462286
love,0.5923365480632785,0.09494166754887895
meditative,0.6980745512204859,0.08728731457156753
melancholic,0.6332142220790284,0.04951084955493218
melodic,0.5910508090450989,0.14875006429112186
motivational,0.7145443162507825,0.05820404500300802
movie,0.6660197621726395,0.07216865553544087
nature,0.7395689672917397,0.0389809069042467
party,0.8057295268833731,0.12508981511687026
positive,0.6439962045211344,0.027457499931345893
powerful,0.6670991868997365,0.02566961545924116
relaxing,0.7177774806261688,0.17055793378337702
retro,0.5180835403142652,0.012333523803819333
romantic,0.6799996319402271,0.07389879775136454
sad,0.6753678215472235,0.07478146937126164
sexy,0.6826388141129177,0.019072743132704087
slow,0.6740162156449268,0.026292817783379045
soft,0.7063805627381601,0.06371547876766566
soundscape,0.6110004720599516,0.01816216762909649
space,0.675949521216918,0.041749020286901
sport,0.798646456736954,0.02883989457719383
summer,0.7806639601304113,0.1242143767835542
trailer,0.9277069546736328,0.1952392725717984
travel,0.5681930645959423,0.01604774449584052
upbeat,0.5863120303855998,0.040800812841585085
uplifting,0.6217757980347908,0.051249945651358056
