tag,ROC-AUC,PR-AUC
action,0.6388965718028969,0.028766318346739452
adventure,0.6255370569280344,0.03476393564293587
advertising,0.6951403817340889,0.08205767899740508
background,0.48483919098143236,0.007939168461941433
ballad,0.5083351753610375,0.017725487818411392
calm,0.595083881099971,0.03352525426562741
children,0.5305320607743504,0.03488968371584952
christmas,0.5145538510613618,0.021713034338060527
commercial,0.6067715510641556,0.028154703298975695
cool,0.5991398151617335,0.011580749644915424
corporate,0.5783461234104418,0.04579606672271234
dark,0.5993798043644024,0.08588545353837869
deep,0.7459672253345602,0.0757855485752511
documentary,0.5443972270655025,0.0359017071800289
drama,0.6840876436781609,0.048971881806826247
dramatic,0.5180623204695891,0.00878115756565978
dream,0.5840680494245227,0.07718275680670386
emotional,0.5691771048041858,0.11390948284284674
energetic,0.6029279309071799,0.08315582382139144
epic,0.7878872241761319,0.18744874092106323
fast,0.5175602998696218,0.009506845316420353
film,0.6730046375396632,0.11098010980945464
fun,0.6982581489781879,0.10556657604365155
funny,0.6199822819471451,0.014325179930066819
game,0.5551866036505867,0.009319821547583991
groovy,0.7048015021459227,0.04174222816846343
happy,0.6514030612244897,0.17410842594554846
heavy,0.7075504313498476,0.019854497527784037
holiday,0.4041298494444233,0.009244738207335623
hopeful,0.49564082138431587,0.010094874421612178
inspiring,0.5039763245723822,0.038269868702329526
love,0.47828743364692283,0.0573274491117912
meditative,0.6971431300867791,0.07779608685633989
melancholic,0.5383548002079566,0.03728741008675855
melodic,0.5247817540705477,0.10007489112994741
motivational,0.6355674805473571,0.04436359210798327
movie,0.5295173164898275,0.03050303057642559
nature,0.6733743644634733,0.050387655913224624
party,0.6922980865288557,0.0599814296153391
positive,0.5188060125735687,0.01720354061252599
powerful,0.45527948550868347,0.011741903888185318
relaxing,0.6873764892739611,0.16132501489144552
retro,0.4844067159097542,0.011208541801306374
romantic,0.48003045694620805,0.028789348069683727
sad,0.4930828145211573,0.03728089501989591
sexy,0.7006783676106385,0.031030063090748086
slow,0.5275520012883939,0.015746890180370572
soft,0.5810573455362003,0.04039200093662697
soundscape,0.6297722310733462,0.020324999188791586
space,0.6937498731652447,0.043551851145371495
sport,0.5887493707701773,0.04155122075173891
summer,0.7284609758336515,0.056108059691447526
trailer,0.7091007583965331,0.04385223457781463
travel,0.5865131024432155,0.01813127411057181
upbeat,0.49500350920650654,0.03601559769615636
uplifting,0.543513101067058,0.04472577136776328
