tag,ROC-AUC,PR-AUC
action,0.6480481354780794,0.027069690594265547
adventure,0.5991076592580352,0.02964244314412804
advertising,0.6852769014582577,0.06939623562105454
background,0.4402519893899204,0.007250145821138297
ballad,0.5461796345417035,0.02495745915881896
calm,0.577981341265549,0.03194373960606533
children,0.5346824040504066,0.034014120448645505
christmas,0.5010838359819045,0.019885999032707893
commercial,0.5708467309753483,0.02540125031507341
cool,0.5995144873235919,0.011547306818535327
corporate,0.5671548059404847,0.0423496014574898
dark,0.5967176667260676,0.08345001182154203
deep,0.7462972237428033,0.07947502341424781
documentary,0.521357208679453,0.03354639802999372
drama,0.6951239224137931,0.0595449135170298
dramatic,0.5013581865867366,0.008625380764521835
dream,0.5943708720512252,0.08228504014297622
emotional,0.5671923341179723,0.11746837413159439
energetic,0.6020873593184997,0.08316266846007117
epic,0.7781169435544317,0.16065218458115066
fast,0.5282146349413299,0.010229589666620794
film,0.6661422622613739,0.09935595569164798
fun,0.6737746022588591,0.09768244685636124
funny,0.6166342602712933,0.012801139703713663
game,0.558476613428944,0.008960597146423572
groovy,0.7200187043266443,0.05690028770341385
happy,0.6338301963013944,0.1673841694939597
heavy,0.7258013941484358,0.028725402599829114
holiday,0.3807311615912624,0.01143315170832835
hopeful,0.5381483448397946,0.012427647884158
inspiring,0.490895069156959,0.03534596997419766
love,0.5243377831502601,0.0676169838881015
meditative,0.6505806028990055,0.062192210640606246
melancholic,0.5544104114952123,0.0404444649014274
melodic,0.5442774936061381,0.1111802701316721
motivational,0.6172757356229318,0.043069763486381994
movie,0.5627277459656429,0.03442514045080887
nature,0.6696362775570697,0.045399663002763255
party,0.7165494761648608,0.07645973897083012
positive,0.49157303370786515,0.015970520979215683
powerful,0.48350851347139984,0.01363104960416716
relaxing,0.6629050335214235,0.13247533870786368
retro,0.44588556494445564,0.010477634431710335
romantic,0.5166547047240471,0.03420510899715434
sad,0.49991717617279474,0.04056469075343626
sexy,0.7044327195721618,0.027331199712171617
slow,0.5512966979873879,0.026385761638862
soft,0.5917150074850299,0.04452400186938342
soundscape,0.6290862689561575,0.020158510121903176
space,0.6710210850097263,0.04020185745236189
sport,0.5694949381956484,0.025609888547490425
summer,0.7130242433395223,0.05112677479202469
trailer,0.7249255382199388,0.047011365131453424
travel,0.5406450349924141,0.01426277973811595
upbeat,0.5038240029725044,0.037310802389652904
uplifting,0.5405533067403572,0.047262946831617324
