tag,ROC-AUC,PR-AUC
action,0.654802629982774,0.026080820112476248
adventure,0.6061926795009501,0.030238859299278036
advertising,0.6963008459197633,0.07533373024187613
background,0.4607178381962865,0.00747009499467052
ballad,0.5417587680518714,0.02256151879273068
calm,0.5841619170445562,0.03194092704310912
children,0.5344200129142072,0.03304280979705711
christmas,0.49511005103816264,0.019651092944123913
commercial,0.5899441126933088,0.02817352297951746
cool,0.6132212439115773,0.012118297267707552
corporate,0.5670995969745486,0.04392499856725866
dark,0.5936179008147644,0.08394248847663385
deep,0.7472949836359613,0.08750223427034627
documentary,0.5256951672533849,0.0328700562120704
drama,0.6847581417624522,0.04964492036019777
dramatic,0.5124890720619458,0.008946785180733623
dream,0.5903556334952598,0.07757001388394325
emotional,0.559680127493668,0.11219799865507213
energetic,0.6077549042361682,0.08633973027696754
epic,0.7735884489617738,0.1598327104975977
fast,0.5414765319426337,0.012849750079360494
film,0.6661777649573599,0.09847137374404472
fun,0.6771532754935246,0.09985570830593427
funny,0.5898730973227332,0.012499201179365493
game,0.5365262385919165,0.008996640767234462
groovy,0.7111486486486486,0.05630642223337579
happy,0.6368772068944881,0.1659492893720429
heavy,0.740981049550962,0.03445856892030075
holiday,0.3966134476089347,0.035995984301682105
hopeful,0.5321812120139258,0.011801388483488924
inspiring,0.4870160216296011,0.036361776282435324
love,0.5192253113995899,0.0690197842088878
meditative,0.6553042386485181,0.06370366286250279
melancholic,0.5387502105193788,0.037016479852075984
melodic,0.5348655389835659,0.1076486804942241
motivational,0.6304695465521867,0.040129302816515555
movie,0.5462880556161944,0.03189257506440219
nature,0.6722916366480723,0.051216667831191484
party,0.7052434744742437,0.05688501717335963
positive,0.49929775280898875,0.01610418039048748
powerful,0.48914072017451904,0.014156224558673068
relaxing,0.6675433206215959,0.1300869752590475
retro,0.4533044532785131,0.01062017277326329
romantic,0.49909020224884526,0.03370812119457586
sad,0.5011465051136734,0.039646979474830465
sexy,0.7117906751372887,0.02597435117866231
slow,0.5403705138980458,0.01609925559421009
soft,0.5909856423516604,0.043208866207059715
soundscape,0.6288576149170946,0.021970501743127334
space,0.6693874533610485,0.040606596059173
sport,0.5675932658426086,0.0173125014190912
summer,0.7177710459844656,0.054179879814096804
trailer,0.7126907788192569,0.045406497315155704
travel,0.5624180927366951,0.015760744969425207
upbeat,0.4967684336553547,0.03689573221764224
uplifting,0.5385126788004486,0.04806028967575953
